,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
2043,Rp 13 Miliar,Cicilan: 52 Jutaan per bulan,Rumah Asri di Dago Tubagus Ismail Bandung Utara Cocok Untuk Keluarga Besar,"Tubagus Ismail, Bandung",6,3,5,LT : 978 m²,LB : 400 m²
2044,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Shm 2 Lantai Baru Di Cimahi Strategis,"Bandung Kota, Bandung",3,2,1,LT : 105 m²,LB : 90 m²
2045,Rp 5 Miliar,Cicilan: 20 Jutaan per bulan,Dijual Rumah Siap Huni Dago Resort Bandung Utara,"Dago Pakar, Bandung",5,4,3,LT : 512 m²,LB : 401 m²
2046,"Rp 9,5 Miliar",Cicilan: 38 Jutaan per bulan,Dijual Ruang Usaha Di Tengah Kota Bandung Dibawah NJOP,"Bandung Kota, Bandung",8,4,9,LT : 531 m²,LB : 512 m²
2047,Rp 8 Miliar,Cicilan: 32 Jutaan per bulan,Dijual Rumah Di Dago Resort Sejuk Dan Udara Alami,"Dago Pakar, Bandung",4,3,2,LT : 444 m²,LB : 350 m²
2048,Rp 9 Miliar,Cicilan: 36 Jutaan per bulan,Dijual Rumah Dengan View Dan Kolam Renang Golf Island Dago Pakar Resort,"Dago Pakar, Bandung",5,4,3,LT : 425 m²,LB : 350 m²
2049,"Rp 7,5 Miliar",Cicilan: 30 Jutaan per bulan,"Rumah Mewah Turun Harga Sangat Murah di Setra Sari Raya, Bandung","Setra Sari, Bandung",4,4,2,LT : 385 m²,LB : 585 m²
2050,"Rp 8,5 Miliar",Cicilan: 34 Jutaan per bulan,Dijual Rumah Siap Huni Dengan Kolam Renang Di Setra Indah Sukajadi,"Bandung Kota, Bandung",4,3,2,LT : 660 m²,LB : 800 m²
2051,Rp 10 Miliar,Cicilan: 40 Jutaan per bulan,Rumah Minimalis View Kota di Resor Dago Pakar,"Dago Pakar, Bandung",4,4,2,LT : 647 m²,LB : 400 m²
2052,"Rp 1,58 Miliar",Cicilan: 6 Jutaan per bulan,Kosan Aktif di Kiaracondong Dalam Komplek 2 Lt Siap Pakai Dkt Trans,"Buah Batu, Bandung",11,11,0,LT : 200 m²,LB : 200 m²
2053,"Rp 7,3 Miliar",Cicilan: 29 Jutaan per bulan,"Rumah Cantik Dengan View Golf Dago Sangat Asri di Cigadung, Dago","Cigadung, Bandung",5,3,2,LT : 238 m²,LB : 600 m²
2054,"Rp 8,89 Miliar",Cicilan: 35 Jutaan per bulan,Rumah Villa Kolam Renang KOTA BARU PARAHYANGAN ,"Kota Baru Parahyangan, Bandung",4,4,2,LT : 548 m²,LB : 300 m²
2055,Rp 486 Juta,Cicilan: 1 Jutaan per bulan,Rumah Baru SHM dekat Exit Tol Padalarang Bandung Bisa KPR,"Padalarang, Bandung",2,1,1,LT : 73 m²,LB : 38 m²
2056,"Rp 4,5 Miliar",Cicilan: 18 Jutaan per bulan,"Malabar, Lengkong. Rumah Luas Siap Huni Di Kota Bandung","Lengkong, Bandung",2,2,1,LT : 187 m²,LB : 140 m²
2057,Rp 675 Juta,Cicilan: 2 Jutaan per bulan,Rumah dijual di Cisaranten Arcamanik Hoek Tanah luas Harga Murah,"Bandung Kota, Bandung",2,1,2,LT : 135 m²,LB : 60 m²
2058,"Rp 1,25 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Baru Tipe Scandinavian Di Cisaranten Arcamanik Bandung,"Arcamanik, Bandung",3,3,1,LT : 100 m²,LB : 100 m²
2059,"Rp 4,3 Miliar",Cicilan: 17 Jutaan per bulan,"Rumah Impian Design Cantik Cluster Brahmapuri, Podomoro Park","Podomoro Park Bandung, Bandung",4,3,1,LT : 140 m²,LB : 147 m²
2060,"Rp 2,2 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Dijual Minimalis Terawat di Sayap Moch Dekat Kurdi,"Moch Toha, Bandung",4,3,0,LT : 91 m²,LB : 200 m²
2061,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Dijual Rumah Minimalis Cantik Dekat Muara Kurdi,"Moch Toha, Bandung",4,3,0,LT : 131 m²,LB : 200 m²
2062,Rp 434 Juta,Cicilan: 1 Jutaan per bulan,Rumah di Katapang dkt Soreang Kopo Cibaduyut Cicilan 2 Jutaan,"Katapang, Bandung",2,1,1,LT : 60 m²,LB : 40 m²
2063,Rp 675 Juta,Cicilan: 2 Jutaan per bulan,"Dp Allin 10jt Cicilan 2,8jtan Rumah Gress Cozy Bandung Katapang Dekat Pintu Tol 15rg85","Coblong, Bandung",3,2,0,LT : 67 m²,LB : 50 m²
2064,Rp 875 Juta,Cicilan: 3 Jutaan per bulan,"New Kiara Sari Buahbatu, Kota Bandung! Sisa 1 Unit Ready, Murah!!","Buah Batu, Bandung",3,2,2,LT : 60 m²,LB : 70 m²
2065,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah Murah,cepat !! Lokasi Strategis Di Komplek Cisaranten Arcamanik Bandung","Bandung Kota, Bandung",3,2,2,LT : 294 m²,LB : 170 m²
2066,"Rp 10,5 Miliar",Cicilan: 42 Jutaan per bulan,Rumah Siap Huni  View Kota Bandung & Kolam Renang Area Dago Bandung ,"Dago, Bandung",4,5,2,LT : 700 m²,LB : 500 m²
2067,"Rp 4,5 Miliar",Cicilan: 18 Jutaan per bulan,Rumah Di Batununggal Terawat Harga Menarik,"Batununggal, Bandung",6,3,0,LT : 210 m²,LB : 300 m²
2068,"Rp 1,5 Miliar",Cicilan: 6 Jutaan per bulan,"Jual Rumah Kost Lengkong
lokasi Dekat Kampus Unpas Dan Unla ","Lengkong, Bandung",10,5,0,LT : 200 m²,LB : 150 m²
2069,"Rp 8,5 Miliar",Cicilan: 34 Jutaan per bulan,Rumah Mewah Cluster Full Furnished Di Batununggal,"Batununggal, Bandung",6,6,1,LT : 444 m²,LB : 700 m²
2070,Rp 15 Miliar,Cicilan: 60 Jutaan per bulan,Rumah Mewah Setrasari Dengan Taman Depan Dan Belakang,"Setra Sari, Bandung",5,3,2,LT : 990 m²,LB : 314 m²
2071,Rp 985 Juta,Cicilan: 3 Jutaan per bulan,Rumah Bagus Siap Huni One Gate System Di Harmony Park Ciwastra Bandung,"Ciwastra, Bandung",3,2,1,LT : 96 m²,LB : 72 m²
2072,Rp 900 Juta,Cicilan: 3 Jutaan per bulan,Rumah Murah Terawat Siap Huni Antapani Bandung,"Antapani, Bandung",3,3,1,LT : 140 m²,LB : 100 m²
2073,"Rp 1,5 Miliar",Cicilan: 6 Jutaan per bulan,Minimalis Modern Dan Sejuk Rumah Budi Indah Cipaku Setiabudi,"Setiabudi, Bandung",3,2,1,LT : 78 m²,LB : 73 m²
2074,Rp 9 Miliar,Cicilan: 36 Jutaan per bulan,"Rumah Minimalis di Setra Duta Hegar, Bandung","Setra Duta, Bandung",4,5,2,LT : 300 m²,LB : 600 m²
2075,"Rp 3,7 Miliar",Cicilan: 14 Jutaan per bulan,Rumah 2 lantai Tanjung Sari Asri Antapani Kota Bandung,"Antapani, Bandung",5,4,2,LT : 300 m²,LB : 300 m²
2076,"Rp 1,8 Miliar",Cicilan: 7 Jutaan per bulan,Rumah Siap Huni Pusat Kota di Gumuruh Turangga Bandung,"Turangga, Bandung",5,2,2,LT : 168 m²,LB : 170 m²
2077,"Rp 4,8 Miliar",Cicilan: 19 Jutaan per bulan,Rumah Hook Dan Usaha Toko Besi Strategis Ramai Di Cikalong Wetan,"Cikalong Wetan, Bandung",4,2,8,LT : 400 m²,LB : 800 m²
2078,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,Rumah Minimalis Modern Keren Terawat di Cisaranten Arcamanik Bandung,"Arcamanik, Bandung",2,2,1,LT : 100 m²,LB : 75 m²
2079,"Rp 2,75 Miliar",Cicilan: 11 Jutaan per bulan,Di Jual Rumah Hitung Tanah Bonus Bangunan Harga Termurah Lokasi Dekat Tol Pasteur Bandung ,"Gunung Batu, Bandung",4,3,2,LT : 510 m²,LB : 200 m²
2080,"Rp 5,8 Miliar",Cicilan: 23 Jutaan per bulan,Dijual rumah padalestari setiabudi dekat UPI,"Setiabudi, Bandung",3,3,0,LT : 592 m²,LB : 350 m²
2081,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,Rumah 2 lantai Siap Huni Diantapani Bandung,"Antapani, Bandung",3,3,1,LT : 90 m²,LB : 88 m²
2082,Rp 15 Miliar,Cicilan: 60 Jutaan per bulan,Rumah Lux di Arcamanik Lokasi Strategis ,"Arcamanik, Bandung",4,4,0,LT : 960 m²,LB : 450 m²
2083,Rp 55 Miliar,Cicilan: 220 Jutaan per bulan,Dijual Cepat Rumah Lux Nyaman Sayap Dago,"Sayap Dago, Bandung",7,6,2,LT : 1071 m²,LB : 1200 m²
2084,"Rp 1,55 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Minimalis Baru Dekat Pusat Kota Bandung di Leuwi Panjang,"Bandung Kota, Bandung",3,2,1,LT : 75 m²,LB : 102 m²
