,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
1769,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Dijual Rumah Msh Baru Komplek Elit Jln Terusan Jakarta Antapani,"Antapani, Bandung",3,3,2,LT : 98 m²,LB : 125 m²
1770,Rp 484 Juta,Cicilan: 2 Jutaan per bulan,Rumah Minimalis Baru di Jatihandap Cicahem Bisa Kpr Udara Sejuk ,"Cicaheum, Bandung",2,1,1,LT : 72 m²,LB : 40 m²
1771,"Rp 2,9 Miliar",Cicilan: 12 Jutaan per bulan,"Rumah 2 Lantai Bagus SHM di Turangga, Bandung","Turangga, Bandung",5,4,4,LT : 184 m²,LB : 200 m²
1772,"Rp 2,35 Miliar",Cicilan: 9 Jutaan per bulan,"Rumah 2 Lantai Bagus SHM di Turangga, Bandung","Turangga, Bandung",4,4,2,LT : 115 m²,LB : 190 m²
1773,"Rp 1,18 Miliar",Cicilan: 5 Jutaan per bulan,"Rumah 3 Lantai Bagus SHM di Sayap Sudirman, Bandung","Sudirman, Bandung",2,1,1,LT : 38 m²,LB : 114 m²
1774,Rp 20 Miliar,Cicilan: 84 Jutaan per bulan,Rumah Mewah Minimalis Tropis Harga Minimalis di Komp. Setraduta,"Setra Duta, Bandung",4,5,6,LT : 1073 m²,LB : 600 m²
1775,"Rp 1,85 Miliar",Cicilan: 7 Jutaan per bulan,Rumah Minimalis 2 Lantai Siap Huni di Komplek Kopo Permai Bandung,"Kopo, Bandung",4,3,0,LT : 203 m²,LB : 200 m²
1776,"Rp 2,1 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Bagus Furnis Area Tanjung Sari Residen Antapani Bandung Timur,"Antapani, Bandung",3,3,1,LT : 144 m²,LB : 157 m²
1777,"Rp 7,7 Miliar",Cicilan: 32 Jutaan per bulan,Dijual Cepat Rumah Mewah Harga Murah di Komp.elit Setra Duta Bandung,"Setra Duta, Bandung",4,4,2,LT : 375 m²,LB : 460 m²
1778,"Rp 12,7 Miliar",Cicilan: 54 Jutaan per bulan,"Rumah Lux Resor Dago Pakar, Bandung Siap Huni View Bukit","Dago, Bandung",4,4,2,LT : 958 m²,LB : 320 m²
1779,"Rp 10,5 Miliar",Cicilan: 44 Jutaan per bulan,"Rumah Mewah Dan Luas Tatar Larangtapa, Kota Baru Parahyangan","Kota Baru Parahyangan, Bandung",4,4,2,LT : 480 m²,LB : 560 m²
1780,"Rp 3,2 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Baru Cantik Minimalis Tropis Kontemporer di Setraduta,"Setra Duta, Bandung",5,4,2,LT : 94 m²,LB : 256 m²
1781,Rp 14 Miliar,Cicilan: 59 Jutaan per bulan,Rumah di Burangrang Dekat Gatot Subroto Bandung Siap Huni,"Burangrang, Bandung",7,6,3,LT : 467 m²,LB : 300 m²
1782,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah Cisaranten Arcamanik Harga Murah,"Arcamanik, Bandung",3,2,0,LT : 116 m²,LB : 70 m²
1783,"Rp 8,5 Miliar",Cicilan: 36 Jutaan per bulan, Rumah Baru 3 Lantai Setraduta Hegar Bandung,"Setra Duta, Bandung",4,5,0,LT : 222 m²,LB : 560 m²
1784,"Rp 2,13 Miliar",Cicilan: 9 Jutaan per bulan,Rumah 2 Lantai Minimalis Modern Di Kota Bandung ,"Margahayu, Bandung",3,3,2,LT : 258 m²,LB : 375 m²
1785,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Bagus Siap Huni Komplek Batununggal Indah Bandung,"Batununggal, Bandung",4,3,1,LT : 180 m²,LB : 150 m²
1786,Rp 799 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah Margahayu Bandung Harga Murah,"Margahayu, Bandung",3,2,0,LT : 120 m²,LB : 105 m²
1787,Rp 550 Juta,Cicilan: 2 Jutaan per bulan,Jual Cepat Rumah Siap Huni Cibiru Bandung ,"Cibiru, Bandung",3,1,1,LT : 60 m²,LB : 90 m²
1788,"Rp 1,2 Miliar",Cicilan: 5 Jutaan per bulan,Rumah 2 Lantai Shm Bagus Di Aria Graha Jual Cepat Barat,"Margahayu, Bandung",3,2,1,LT : 122 m²,LB : 180 m²
1789,"Rp 7,9 Miliar",Cicilan: 33 Jutaan per bulan,Rumah Dan Ruang Usaha Mewah Baru Siap Pakai Sayap Asia Afrika Bandung,"Lengkong, Bandung",4,4,2,LT : 320 m²,LB : 450 m²
1790,"Rp 2,6 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Minimalis Siap Huni di Flora Summarecon Bandung,"Summarecon Bandung, Bandung",4,3,0,LT : 105 m²,LB : 104 m²
1791,Rp 6 Miliar,Cicilan: 25 Jutaan per bulan,"Rumah Bagus Dalam Cluster Batununggal Indah, Bandung","Batununggal, Bandung",5,4,1,LT : 300 m²,LB : 350 m²
1792,"Rp 2,75 Miliar",Cicilan: 11 Jutaan per bulan,Dijual Cepat/Murah. Rumah Di Taman Kopo Indah 1,"Taman Kopo Indah, Bandung",10,5,0,LT : 408 m²,LB : 674 m²
1793,"Rp 6,5 Miliar",Cicilan: 27 Jutaan per bulan,Rumah Mewah 2 Lantai Siap Huni Singgasana Mekar Wangi Bandung,"Singgasana, Bandung",5,4,2,LT : 280 m²,LB : 450 m²
1794,Rp 875 Juta,Cicilan: 3 Jutaan per bulan,Rumah Siap Huni di Private Village Cluster Jimbaran,"Bojongsoang, Bandung",1,1,1,LT : 133 m²,LB : 70 m²
1795,Rp 800 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Bagus SHM di Jln sadang kopo
dalam Cluster","Kopo, Bandung",2,1,1,LT : 90 m²,LB : 45 m²
1796,Rp 7 Miliar,Cicilan: 29 Jutaan per bulan,Rumah & Kost Hitung Tanah Saja Area Cukang Kawung Cikutra Bandung Utara,"Cikutra, Bandung",25,20,1,LT : 765 m²,LB : 400 m²
1797,Rp 750 Juta,Cicilan: 3 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Jl.manoko, Bandung","Lembang, Bandung",2,2,1,LT : 158 m²,LB : 74 m²
1798,Rp 750 Juta,Cicilan: 3 Jutaan per bulan,Super Murah Rumah Bangunan Baru di Cijambe Kota Bandung,"Ujungberung, Bandung",2,2,2,LT : 215 m²,LB : 150 m²
1799,Rp 750 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah Siap Huni Di Pasir Impun Bandung Harga Murah,"Arcamanik, Bandung",1,1,0,LT : 72 m²,LB : 27 m²
1800,Rp 875 Juta,Cicilan: 3 Jutaan per bulan,Rumah Full Renovasi 1 Lantai di Bumi Panyawangan Unit Depan,"Cileunyi, Bandung",2,1,1,LT : 115 m²,LB : 45 m²
1801,Rp 14 Miliar,Cicilan: 59 Jutaan per bulan,Rumah Sayap Riau Bandung Dekat Area Perkantoran,"Riau, Bandung",9,5,2,LT : 742 m²,LB : 500 m²
1802,"Rp 1,2 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Murah Siap Pakai di Komplek Taman Kopo Indah Iii Bandung,"Margaasih, Bandung",2,2,1,LT : 119 m²,LB : 125 m²
1803,Rp 245 Juta,Cicilan: 1 Jutaan per bulan,Jual Rumah Murah Inden/Ready Dekat Stt Telkom Dan Tol Buahbatu Bandung ,"Bojongsoang, Bandung",2,1,1,LT : 70 m²,LB : 45 m²
1804,Rp 4 Miliar,Cicilan: 16 Jutaan per bulan,DIJUAL FULLFURNISH RUMAH MEWAH & LUX TERAWAT DI ANTAPANI,"Antapani, Bandung",3,3,4,LT : 281 m²,LB : 300 m²
1805,"Rp 3,3 Miliar",Cicilan: 13 Jutaan per bulan,DIJUAL RUMAH ASRI BAGUS TANAH LUAS DI ANTAPANI BANDUNG,"Antapani, Bandung",3,3,3,LT : 256 m²,LB : 212 m²
1806,"Rp 3,2 Miliar",Cicilan: 13 Jutaan per bulan,Dijual Fullfurnish Rumah Asri View Kota Di Antapani Bandung,"Antapani, Bandung",5,3,2,LT : 172 m²,LB : 320 m²
1807,"Rp 1,6 Miliar",Cicilan: 6 Jutaan per bulan,Dijual/Sewakan Rumah Bagus Dlm Komplek Di Antapani Wetan,"Antapani, Bandung",2,2,1,LT : 127 m²,LB : 120 m²
