,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
6102,"Rp 2,9 Miliar",Cicilan: 11 Jutaan per bulan,No Data,"Jatinangor, Bandung",13,11,10,LT : 1000 m²,LB : 500 m²
6103,"Rp 1,65 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",2,2,1,LT : 69 m²,LB : 80 m²
6104,Rp 900 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Holis Cigondewah, Bandung",3,2,1,LT : 114 m²,LB : 103 m²
6105,"Rp 2,85 Miliar",Cicilan: 10 Jutaan per bulan,No Data,"Cigadung, Bandung",4,4,1,LT : 106 m²,LB : 145 m²
6106,"Rp 1,9 Miliar",Cicilan: 7 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 108 m²,LB : 100 m²
6107,"Rp 1,5 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,2,0,LT : 153 m²,LB : 117 m²
6108,"Rp 3,02 Miliar",Cicilan: 11 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",4,3,1,LT : 200 m²,LB : 200 m²
6109,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,3,0,LT : 170 m²,LB : 250 m²
6110,"Rp 1,75 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,2,1,LT : 153 m²,LB : 110 m²
6111,"Rp 1,29 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Kopo Permai, Bandung",3,2,2,LT : 95 m²,LB : 150 m²
6112,Rp 863 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,1,LT : 76 m²,LB : 38 m²
6113,Rp 899 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,0,LT : 76 m²,LB : 41 m²
6114,Rp 5 Miliar,Cicilan: 19 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",4,3,2,LT : 405 m²,LB : 350 m²
6115,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",4,2,0,LT : 275 m²,LB : 350 m²
6116,"Rp 1,55 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Buah Batu, Bandung",3,1,1,LT : 84 m²,LB : 60 m²
6117,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,3,0,LT : 150 m²,LB : 220 m²
6118,"Rp 1,95 Miliar",Cicilan: 7 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,2,1,LT : 170 m²,LB : 170 m²
6119,"Rp 1,49 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,2,0,LT : 96 m²,LB : 125 m²
6120,Rp 990 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",4,2,0,LT : 102 m²,LB : 160 m²
6121,"Rp 1,25 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",2,1,1,LT : 108 m²,LB : 95 m²
6122,"Rp 3,6 Miliar",Cicilan: 13 Jutaan per bulan,No Data,"Summarecon Bandung, Bandung",4,3,1,LT : 144 m²,LB : 200 m²
6123,"Rp 3,6 Miliar",Cicilan: 13 Jutaan per bulan,No Data,"Summarecon Bandung, Bandung",4,3,1,LT : 144 m²,LB : 200 m²
6124,"Rp 1,45 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",3,3,1,LT : 153 m²,LB : 140 m²
6125,Rp 16 Miliar,Cicilan: 61 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",5,5,2,LT : 849 m²,LB : 1200 m²
6126,"Rp 2,2 Miliar",Cicilan: 8 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 126 m²,LB : 100 m²
6127,Rp 8 Miliar,Cicilan: 30 Jutaan per bulan,No Data,"Mekar Wangi, Bandung",5,5,2,LT : 426 m²,LB : 500 m²
